brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,date,location,link,description,parse_date
Honda,Fit,Хэтчбек 5 дв.,Серебристый,Бензин,2001.0,250000.0,Вариатор,86.0,350000,1.3 Y,L13A,1.3 LTR,2023-04-10 00:00:00,Яблоновский,https://yablonovskiy.drom.ru/honda/fit/50486101.html,"Технически машина в хорошем состоянии Автозапуск, камера заднего вида, магнитофон (aux, usb) Все вопросы по телефону Торг",2023-05-07 01:00:00
Chery,Fora A21,Седан,Голубой,Бензин,2007.0,282000.0,Механика,128.0,205000,2.0 MT,SQR484F,2.0 LTR,2023-04-10 00:00:00,Энем,https://enem.drom.ru/chery/fora/50486552.html,"На полном ходу, вложений никаких не требует от слова совсем, сел и поехал, гнили нет, целый крепкий кузов, салон не ушатан, в хорошем состоянии, мотор шепчет, запускается с пол оборота, КПП без хрустов и выбиваний, масла жидкости поменяны , еще не проехала и 100км, доп вопросы в лс или по телефону , в комплекте с машиной идет хорошее дорогое аудиосопровождение с камерой заднего вида хороший торг у капота.",2023-05-07 01:00:00
Chery,Tiggo T11,Джип 5 дв.,Серый,Бензин,2015.0,120000.0,Механика,132.0,600000,1.8 MT Luxury 2WD,SQR481FC,1.8 LTR,2023-04-10 00:00:00,Майкоп,https://maykop.drom.ru/chery/tiggo/49124987.html,"Два хозяина. ПТС оригинал. В хорошем состоянии есть крашеные детали, кондиционер работает, люк не течёт, расход топлива низкий.салон чистый. Никаких срочных вложений не требует. Торг возможен только у капота Юридически чист на 100 % Салонам мазгаделам не звонить Идеалы не б ни к ищите от 800",2023-05-06 10:00:00
Renault,Megane,Седан,Красный,Бензин,2006.0,220000.0,Механика,113.0,400000,Confort 1.6 MT,K4M,1.6 LTR,2023-04-10 00:00:00,Майкоп,https://maykop.drom.ru/renault/megane/49752607.html,"Машина как на фото со всеми изъянами по кузову и ЛКП. Т.е. продается именно та машина, что на фото. Двигатель на обкатке после капиталки(7800км), стартер профессиональный ремонт (06.02.2023) - на гарантии, аккумулятор новый(06.02.2023), резина зима, задние амортизаторы новые, сцепление поменял при капиталке, колодки свежие, масло не употребляет, расход по индикатору(8.0/5.7), вложений не требует. Владею более четырёх лет всем доволен, в ПТС(дубликат) второй., Доллар дорожает, а машина стОит $ 6000. Торг у капота с потенциальным покупателем. Рассмотрю варианты.",2023-05-07 15:00:00
Mazda,Mazda3 MPS,Хэтчбек 5 дв.,Голубой,Бензин,2006.0,250000.0,Механика,260.0,650000,2.3 MT MPS EB3,L3-VDT,2.3 LTR,2023-04-10 00:00:00,Майкоп,https://maykop.drom.ru/mazda/mazda3_mps/50095471.html,"Продаю Mazda 3 MPS, в достойном состоянии для ее года и сравнении со многими другими такими авто. В приоритете обмен . Звоните, предлагайте, обсудим Вопросы по телефону в любое время суток.",2023-05-07 01:00:00
Chevrolet,Aveo,Седан,Черный,Бензин,2012.0,148000.0,Механика,115.0,540000,1.6 MT LS ,F16D4,1.6 LTR,2023-04-10 00:00:00,Ханская,https://hanskaya.drom.ru/chevrolet/aveo/50099026.html,Автомобиль в отличном состоянии. Все вопросы по телефону.,2023-05-07 01:00:00
Mercedes-Benz,C-Class,Универсал,Бордовый,Бензин,2005.0,284000.0,АКПП,231.0,380000,C280 AT Avantgarde,M 272 E 30,3.0 LTR,2023-04-11 00:00:00,Майкоп,https://maykop.drom.ru/mercedes-benz/c-class/50111442.html,"В Авангарде 3.0 полный фарш, состояние хорошее, ограничения на оформление. Шум цепи, торга нет",2023-05-05 14:00:00
Volkswagen,Amarok,Пикап,Черный,Дизель,2013.0,160000.0,АКПП,180.0,1500000,2.0 biTDI DoubleCab Sochi Edition,"CNEA, CSHA",2.0 LTR,2023-04-11 00:00:00,Энем,https://enem.drom.ru/volkswagen/amarok/50306151.html,В хорошем состоянии,2023-05-05 14:00:00
Nissan,Micra,Хэтчбек 5 дв.,Красный,Бензин,2003.0,189000.0,АКПП,80.0,410000,1.2 АT Acenta 5dr,CR12DE,1.2 LTR,2023-04-11 00:00:00,Яблоновский,https://yablonovskiy.drom.ru/nissan/micra/49319342.html,машинка резво бегает.Оч.удобна для парковки и просторная в салоне.торг.,2023-05-03 10:00:00
Лада,Ларгус,Универсал,Белый,Бензин,2012.0,435000.0,Механика,105.0,550000,1.6 MT Luxe 5 мест,K4M,1.6 LTR,2023-04-11 00:00:00,Майкоп,https://maykop.drom.ru/lada/largus/50501994.html,"Машина в хорошем состоянии, технически обслужена, перекрашена в белый цвет в коммерческих целях. Установлено Гбо, торг на месте.",2023-05-03 10:00:00
